"","Estimate","Std. Error","z value","Pr(>|z|)"
"VarietyV:Strain008",0.566297465548911,6.65966307704878,0.085033951267076,0.932234399241033
"VarietyS:Strain009",-2.61230637441241,9.08691160936689,-0.287480112794276,0.77374472725968
"VarietyV:Strain009",1.29334461751676,9.48276387551211,0.136388993177046,0.891513774541797
"VarietyS:Strain010",-3.24599197914664,17.8346596124921,-0.18200470598682,0.855579032743716
"VarietyV:Strain010",-1.43586266522631,17.8617213805927,-0.0803876980628766,0.935928910763377
"VarietyS:Strain011",-2.02138255703786,8.31379142063814,-0.243136068102453,0.8078999910755
"VarietyV:Strain011",1.3119754718492,8.1210785595042,0.161551875435779,0.87165875719427
"VarietyS:Strain012",-27.8500219316475,205.479629973909,-0.13553665604315,0.892187584303516
"VarietyV:Strain012",5.26151151644652,10.6710983227094,0.493061853366056,0.621968883524909
"VarietyS:Strain013",2.7146792186829,10.1611936074589,0.267161450077102,0.78934485604792
"VarietyV:Strain013",3.78389997300924,10.4184255379843,0.363193071660744,0.716460662798913
"VarietyS:Strain014",-3.17488617791312,7.11381419512713,-0.446298721168158,0.655381479899987
"VarietyV:Strain014",1.41701045366348,8.84674099724189,0.160173159144735,0.872744672290109
"VarietyS:Strain015",-11.3840232021085,19.1836286517608,-0.59342387244676,0.55289751645588
"VarietyV:Strain015",-5.36333757577016,11.1749148180371,-0.479944381062608,0.631266942243235
"VarietyS:Strain016",-4.22375242964587,8.89119733714865,-0.475048777963622,0.634752206472104
"VarietyV:Strain016",-1.49715930866181,8.5299718182369,-0.175517497661705,0.860673023042391
"VarietyS:Strain017",-0.429422823627612,8.07498722160623,-0.0531793811981034,0.957588983785425
"VarietyV:Strain017",1.70108806730193,8.27869179352185,0.20547788342997,0.837198775905628
"VarietyS:Strain018",-4.20445661279013,8.19545170665028,-0.513023169836799,0.607935113267085
"VarietyV:Strain018",-4.28217154979095,9.07468994592013,-0.471880755740438,0.637011904908173
"VarietyS:Strain019",0.091175480723732,9.18111495161622,0.00993076344259057,0.992076527407946
"VarietyV:Strain019",3.08455443895988,10.1873162219214,0.302783811925111,0.76205462090058
"VarietyS:Strain020",-0.293181593134441,9.78931264797884,-0.029949150024846,0.976107607359305
"VarietyV:Strain020",0.578560719081794,8.86188697104044,0.0652864024301437,0.947945968535403
"VarietyS:Strain021",-3.23191513976084,17.7187951119843,-0.182400390056709,0.855268519719535
"VarietyV:Strain021",0.946504071567026,11.9914531595658,0.0789315572493385,0.937087062482862
"VarietyS:Strain022",0.808736096486637,10.0368661604275,0.0805765548289616,0.935778712100669
"VarietyV:Strain022",2.56919152929726,9.1753957051198,0.280008798733735,0.779470754397474
"VarietyS:Strain023",-3.60871530488341,15.9815062252645,-0.225805706547142,0.821352538519506
"VarietyV:Strain023",-2.45615872313929,16.5356491736429,-0.148537181537105,0.881918844772345
"VarietyS:Strain024",-0.815080684375447,6.13732536514288,-0.132807149023697,0.894345900343967
"VarietyV:Strain024",0.296877394418748,9.15686810318967,0.032421281061735,0.974136091574563
"VarietyS:Strain025",-2.62082848577111,9.41495077264101,-0.278368793322531,0.780729272466972
"VarietyV:Strain025",-2.11386797206039,16.6976232031022,-0.126596938159897,0.899259420437563
"VarietyS:Strain026",-0.805220356796548,3.16071743849735,-0.254758728821821,0.798909453292875
"VarietyV:Strain026",2.28829468436304,16.2472615617274,0.14084186899246,0.887994866041804
"VarietyS:Strain028",-6.52711670867959,13.3711105532141,-0.488150679983018,0.625443115781618
"VarietyV:Strain028",-1.2913783165259,10.8453759157682,-0.119071789355715,0.905218480542251
"VarietyS:Strain029",4.53176948234569,15.6189137780583,0.290146264121901,0.771704343660157
"VarietyV:Strain029",7.38047599863969,17.8088739794016,0.414426875454127,0.678561509918059
"VarietyS:Strain030",-2.34655766900461,6.90568613322821,-0.339800799476483,0.734006545806635
"VarietyV:Strain030",0.920680376811885,6.64986974275312,0.138450888878722,0.889884080721883
"VarietyS:Strain031",-5.61191736030755,6.98080519853101,-0.80390688476574,0.421450753623947
"VarietyV:Strain031",0.134037860277655,2.84659795913501,0.0470870358940271,0.962443859735259
"VarietyS:Strain032",-3.25933434553821,7.96111350060265,-0.409406843061776,0.682241118608331
"VarietyV:Strain032",-0.653470470746028,7.35182002346193,-0.0888855370045243,0.929172877850908
"VarietyS:Strain033",-1.39772026964243,6.52778993182174,-0.214118451151256,0.830454687515395
"VarietyV:Strain033",0.590074306046886,11.4361926028813,0.0515970941148908,0.958849734818026
"VarietyS:Strain034",-2.37667214430914,8.35188248100543,-0.284567239746772,0.775975712827986
"VarietyV:Strain034",1.10764522726119,7.40756781830066,0.149528867562266,0.881136332397822
"VarietyS:Strain035",-0.867711991806849,8.6836638579252,-0.0999246407972052,0.920404153726366
"VarietyV:Strain035",1.97903297244594,8.23365487179476,0.240358990419349,0.810051967296521
