"Strain","Variety","Source_variety","Rep","Rootweight_g","Shootweight_g","Nod_lobe","Nod_unlobed","Label","Nod_count","prop_lobe","Biomass_g"
"101","V","ON","b",0.255,0.382,11,15,"101_V_b",26,0.423076923076923,0.637
"101","V","ON","c",0.17,0.439,4,9,"101_V_c",13,0.307692307692308,0.609
"101","O","ON","c",0.064,0.17,22,30,"101_O_c",52,0.423076923076923,0.234
"101","O","ON","d",0.327,0.399,17,34,"101_O_d",51,0.333333333333333,0.726
"101","V","ON","d",0.09,0.202,5,40,"101_V_d",45,0.111111111111111,0.292
"102","O","ON","a",0.063,0.068,2,71,"102_O_a",73,0.0273972602739726,0.131
"102","S","ON","a",0.193,0.308,13,35,"102_S_a",48,0.270833333333333,0.501
"102","V","ON","a",0.091,0.128,7,34,"102_V_a",41,0.170731707317073,0.219
"102","S","ON","b",0.261,0.471,16,62,"102_S_b",78,0.205128205128205,0.732
"102","V","ON","b",0.241,0.325,6,40,"102_V_b",46,0.130434782608696,0.566
"102","O","ON","b",0.354,0.539,3,77,"102_O_b",80,0.0375,0.893
"102","V","ON","c",0.066,0.212,10,37,"102_V_c",47,0.212765957446809,0.278
"102","O","ON","c",0.257,0.479,17,44,"102_O_c",61,0.278688524590164,0.736
"102","O","ON","d",0.104,0.233,10,11,"102_O_d",21,0.476190476190476,0.337
"102","V","ON","d",0.337,0.376,14,39,"102_V_d",53,0.264150943396226,0.713
"103","S","ON","a",0.557,0.441,17,16,"103_S_a",33,0.515151515151515,0.998
"103","O","ON","a",0.066,0.149,8,6,"103_O_a",14,0.571428571428571,0.215
"103","V","ON","a",0.041,0.08,6,14,"103_V_a",20,0.3,0.121
"103","S","ON","b",0.293,0.454,25,37,"103_S_b",62,0.403225806451613,0.747
"103","V","ON","b",0.008,0.132,4,4,"103_V_b",8,0.5,0.14
"103","O","ON","b",0.127,0.286,4,3,"103_O_b",7,0.571428571428571,0.413
"103","V","ON","c",0.034,0.123,2,23,"103_V_c",25,0.08,0.157
"103","O","ON","c",0.076,0.168,9,14,"103_O_c",23,0.391304347826087,0.244
"103","V","ON","d",0.045,0.093,5,30,"103_V_d",35,0.142857142857143,0.138
"103","O","ON","d",0.345,0.546,16,54,"103_O_d",70,0.228571428571429,0.891
"104","S","ON","a",0.578,0.637,10,44,"104_S_a",54,0.185185185185185,1.215
"104","V","ON","a",0.116,0.265,7,3,"104_V_a",10,0.7,0.381
"104","O","ON","a",0.29,0.399,17,13,"104_O_a",30,0.566666666666667,0.689
"104","O","ON","b",0.31,0.628,18,40,"104_O_b",58,0.310344827586207,0.938
"104","V","ON","b",0.349,0.397,9,13,"104_V_b",22,0.409090909090909,0.746
"104","S","ON","b",0.173,0.489,14,27,"104_S_b",41,0.341463414634146,0.662
"104","S","ON","c",0.121,0.291,4,18,"104_S_c",22,0.181818181818182,0.412
"104","O","ON","c",0.642,0.719,22,10,"104_O_c",32,0.6875,1.361
"104","O","ON","d",0.848,0.604,13,5,"104_O_d",18,0.722222222222222,1.452
"105","V","ON","a",0.242,0.544,8,10,"105_V_a",18,0.444444444444444,0.786
"105","S","ON","a",0.398,0.475,20,72,"105_S_a",92,0.217391304347826,0.873
"105","O","ON","a",0.085,0.191,9,17,"105_O_a",26,0.346153846153846,0.276
"105","O","ON","b",0.179,0.365,11,42,"105_O_b",53,0.207547169811321,0.544
"105","S","ON","b",0.306,0.422,14,19,"105_S_b",33,0.424242424242424,0.728
"105","V","ON","b",0.189,0.436,10,24,"105_V_b",34,0.294117647058824,0.625
"105","O","ON","c",0.227,0.526,19,25,"105_O_c",44,0.431818181818182,0.753
"105","V","ON","c",0.066,0.172,9,4,"105_V_c",13,0.692307692307692,0.238
"105","V","ON","d",0.544,0.67,10,11,"105_V_d",21,0.476190476190476,1.214
"106","S","SN","a",0.259,0.38,12,20,"106_S_a",32,0.375,0.639
"106","O","SN","a",0.149,0.233,6,41,"106_O_a",47,0.127659574468085,0.382
"106","V","SN","a",0.27,0.483,10,13,"106_V_a",23,0.434782608695652,0.753
"106","S","SN","b",0.06,0.129,8,22,"106_S_b",30,0.266666666666667,0.189
"106","V","SN","b",0.123,0.343,19,10,"106_V_b",29,0.655172413793103,0.466
