Strain,Variety,Source_variety,Rep,Label,Tray,Slot,Location,Plantarea_3weeks_cm^2,Chloro_1,Chloro_2,Chloro_3,Chloro_4,Chloro_5,Chloro_check,Chloro_avg,Rootweight_g,Shootweight_g,Nod_lobe,Nod_unlobed,Nodule_Picker,Morphology,NOTES
084,O,VL,c,084_O_c,105,A,105-A,3.605437624,20.8,12.2,21.1,23.9,24.3,1.31,20.46,0.196,0.327,12,76,MAG,R,
084,O,VL,d,084_O_d,111,E,111-E,2.858318686,24.2,25.1,21.6,24,27,0.09,24.38,0.441,0.572,22,25,ELP,R,
084,V,VL,d,084_V_d,112,E,112-E,2.374519871,32.8,30.1,21.3,18.7,33.7,1.79,27.32,0.429,0.5,12,21,ELP,R,
084,S,VL,d,084_S_d,136,C,136-C,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
085,O,VL,a,085_O_a,10,C,10-C,2.727110199,4.2,24,28.5,31.5,36.6,6.85,24.96,0.24,0.415,8,4,EMB,R,
085,V,VL,a,085_V_a,10,E,10-E,2.493940504,13.1,29.5,26,9,30,5.04,21.52,0.185,0.29,10,41,EMB,R,
085,S,VL,a,085_S_a,24,J,24-J,7.374461663,4.7,11.2,28.6,12.4,31.1,7.26,17.6,0.443,0.567,17,80,LTB,R,
085,V,VL,b,085_V_b,40,B,40-B,2.493807185,14.8,25.4,24.6,6.4,6.5,4.55,15.54,0.185,0.343,23,17,EMB,R,
085,S,VL,b,085_S_b,48,D,48-D,3.898160826,7.6,22.2,10.1,11.8,43.1,3.19,18.96,0.307,0.431,19,25,EMB,R,
085,O,VL,b,085_O_b,51,F,51-F,3.258621219,41.1,34.9,36.8,36.1,41.2,0.2,38.02,0.314,0.495,14,48,ELP,R,
085,V,VL,c,085_V_c,85,E,85-E,1.690682718,16.1,27.6,40.5,4.1,37.6,11.01,25.18,0.105,0.148,14,37,MAG,R,
085,S,VL,c,085_S_c,92,D,92-D,3.705787949,25.1,27.9,33.5,29.5,34.3,0.42,30.06,0.376,0.414,9,21,ELP,R,
085,O,VL,c,085_O_c,106,E,106-E,4.76200381,23.5,25.1,35.5,33.2,38.3,1.19,31.12,0.35,0.532,17,72,MAG,R,
085,V,VL,d,085_V_d,117,J,117-J,0.645480742,1.9,1.3,1.2,4.1,3.3,0.86,2.36,0.028,0.06,3,53,MAG,R,
085,O,VL,d,085_O_d,126,J,126-J,2.611497523,30.4,31.3,41.1,43,57,1.17,40.56,0.135,0.431,35,42,LTB,R,
085,S,VL,d,085_S_d,142,H,142-H,1.335859058,1.1,1,1,1,1,0,1.02,NA,NA,NA,NA,,R,DEAD
086,V,VL,a,086_V_a,7,F,7-F,3.684056618,29.8,31.1,33.1,8.9,32.4,4.96,27.06,0.135,0.254,5,35,EMB,R,
086,S,VL,a,086_S_a,17,E,17-E,4.327964173,3.5,13.6,55,38.3,46.7,19.83,31.42,0.502,0.452,11,11,MAG,R,
086,O,VL,a,086_O_a,26,E,26-E,4.434985742,18.2,NA,47.5,40.8,36.2,6.64,35.675,0.289,0.436,13,2,EMB,R,
086,S,VL,b,086_S_b,46,G,46-G,3.935359349,39.5,2.7,8.3,27.6,39.6,14.91,23.54,0.412,0.454,14,17,EMB,R,
086,V,VL,b,086_V_b,53,D,53-D,3.003692308,27.9,7.5,25,23.9,6.8,4.02,18.22,0.243,0.392,10,9,EMB,R,
086,O,VL,b,086_O_b,67,D,67-D,4.624653309,29.5,24.8,NA,37.6,41.3,1.37,33.3,0.253,0.444,23,17,EMB,R,
086,O,VL,c,086_O_c,88,A,88-A,3.9509001,32.1,,38.4,39.5,40.9,0.43,37.725,0.316,0.436,7,41,MAG,R,
086,S,VL,c,086_S_c,97,E,97-E,3.930623145,35.3,44.1,26.7,26.3,37.1,2.15,33.9,0.305,0.427,21,50,MAG,R,
086,V,VL,c,086_V_c,99,C,99-C,1.625681871,18.3,19.5,15.2,24.5,37.6,0.77,23.02,0.091,0.201,13,22,ELP,R,
086,V,VL,d,086_V_d,110,I,110-I,1.192025697,7.3,8.5,13.3,3.2,24.8,2.14,11.42,0.106,0.233,11,29,EMB,R,
086,S,VL,d,086_S_d,115,A,115-A,0,1,1,0.9,1,0.9,0,0.96,NA,NA,NA,NA,,R,
086,O,VL,d,086_O_d,135,I,135-I,3.479350619,17.8,15.1,49.2,2,56.9,19.05,28.2,0.261,0.278,17,17,SVG,R,
